author_id,name,birth_year
292,Scott Sanchez,1954
293,Melissa Santiago,1946
294,Charlene Mcclain,1984
295,Tammy Merritt,1955
296,Brandon Kirk,1971
297,Suzanne Black,1965
298,Nicole Wade,1968
299,Zachary Stevens,1961
300,Kyle Griffin,1952
301,Melissa Newton,1950
302,Michelle Rosario,1971
303,Vicki Patterson,1969
304,Daniel Burns,1952
305,Kimberly Lambert,1979
306,Brian Garcia,1966
307,Carlos Hill,1986
308,Jennifer Finley,1966
309,Charles Bonilla,1968
310,Sharon Klein,1966
311,Steve Goodman,1966
312,Marcia Ramos,1974
313,Tyler Le,1949
314,Danielle Smith,1986
315,Patricia Moreno,1963
316,Christopher Willis,1963
317,Christine Ramos,1965
318,Stephanie Shaw,1955
319,Juan Francis,1993
320,Michael Martin,1981
321,Angela Brown,1955
322,Andrew Hall,1954
323,Laura Davidson,1946
324,Sydney Baker,1963
325,Keith Harris,1988
326,Martha Deleon,1959
327,John Jackson,1944
328,Jessica Davis,1947
329,Brett Christian,1978
330,Jesse Yoder,1995
331,Erika Murray,1955
332,David Acosta,1974
333,Danielle Willis,1969
334,Andrew Solis,1985
335,Gary Bryant,1992
336,Joseph Walker,1980
337,Taylor Mitchell,1942
338,Anthony Harris,1982
339,Mary Richardson,1969
340,Jacqueline Huff,1962
341,Ashley Rhodes,1949
342,Caleb Norman,1980
343,Michael Robinson,1966
344,Evan Whitaker,1940
345,Kevin Evans,1965
346,Christopher Donovan,1975
347,Mr. Luis Williams,1969
348,Barbara Kaiser,1962
349,Sabrina Smith,1940
350,Patrick Jones,1945
351,Scott Barton,1984
352,Anthony Mccann,1942
353,Angel Cook,1974
354,Julie Newman,1986
355,Barbara Knight,1984
356,Margaret Diaz,1947
357,Kenneth Brady,1947
358,Angelica Montoya,1950
359,Kathleen Acosta,1942
360,Leslie Jones,1986
361,Brett Wolf,1959
362,Michele Anderson,1976
363,Alexandra Le,1981
364,William Hopkins,1975
365,David Davis,1982
366,Alicia Carr,1968
367,Karen Torres,1945
368,Joan Hall,1967
369,Evan Craig,1965
370,Alan Santiago,1953
371,Lauren Johnson,1967
372,Joshua Larson,1945
373,Emily Riggs,1963
374,Timothy Coffey,1961
375,Yolanda Christensen,1983
376,Jose Ford,1966
377,Patrick Mccall,1968
378,Leslie Johnson,1965
379,Dakota Washington,1974
380,Melissa Gilbert,1980
381,Mrs. Sarah Moses,1984
382,Michael Payne,1942
383,Ricardo Dunn,1961
384,Amy Brady,1946
385,Deborah Lee,1951
386,Laura Arnold,1978
387,Chelsea Allen,1955
388,Jeffrey Martin,1979
389,Andrew Allison,1947
390,Kelly Cook,1966
391,Allen Maxwell,1944
392,Tony Taylor,1965
393,Jeremy Holmes,1991
394,Kara Boyd,1967
395,Justin Zimmerman,1988
396,James Fox,1964
397,Jeff Moore,1940
398,Gavin Mckee,1955
399,Lauren Marshall,1972
400,Jimmy Lopez,1971
401,Maria Burns,1976
402,Shelly Willis DDS,1959
403,Danny Miller,1980
404,Jesse Harris,1995
405,Tara Hayden,1948
406,Emily Bender,1958
407,Victor Golden,1976
408,James Arias,1987
409,Martha Perry,1990
410,Eric Johnson,1962
411,Ashley Smith,1962
412,Jason Wang,1972
413,Dana Contreras,1973
414,Chelsea Alexander,1946
415,Ryan Cole,1972
416,Edward Meza,1966
417,Melissa Roberts,1953
418,Michael Underwood,1951
419,William Wade,1992
420,Xavier Johnson,1956
421,Deanna Gray,1963
422,Laura Chandler,1969
423,Mr. Travis Hernandez,1951
424,Cassandra Douglas,1982
425,Andrew Hernandez,1964
426,Michael Cole,1987
427,Chris Holloway,1946
428,Lauren Lee,1968
429,Kevin Underwood,1964
430,Mathew Little,1993
431,Randall Brown,1950
432,Christopher Joseph,1948
433,Daniel Mason,1954
434,Monica Goodwin,1963
435,Rebecca Shaw,1983
436,Nathan Foster,1987
437,Brandon Buckley,1941
438,Jennifer Lopez,1950
439,Joseph Stewart,1950
440,Johnny Smith,1979
441,Michelle Norris,1990
442,Kim Juarez,1966
443,Michael Meadows,1956
444,James Wilson,1956
445,Kevin Medina,1970
446,Christopher Graham,1978
447,Nicole Cross,1940
448,Tasha Murphy,1989
449,Kimberly Choi,1963
450,Catherine Brown,1955
451,Mary Lopez,1945
452,Veronica Lopez,1950
453,Lisa Jordan PhD,1980
454,Steven Yu,1954
455,Jennifer Cox,1953
456,Alex Sandoval,1965
457,Marissa Hester,1989
458,Zachary Wheeler,1986
459,Jacob Johnson,1970
460,Jeremy King,1946
461,Michele Krueger,1973
462,Trevor Brown,1983
463,Derek Frank,1952
464,Eric Hayes,1951
465,Katherine Medina,1976
466,Tyler Adams,1976
467,Charles Adams,1943
468,Chad Cole,1955
469,Veronica Brown,1961
470,Samantha Thompson,1959
471,Paul Silva,1973
472,Mary Gallegos,1978
473,Joseph Russell,1956
474,Vincent Zamora,1963
475,Ariel Spencer,1955
476,Carmen Clark,1940
477,Amanda Sandoval,1986
478,John Williams,1958
479,Bobby Brown,1961
480,Justin Parker,1946
481,Jennifer Grant,1986
482,Christopher Golden,1995
483,Andrew Walker,1987
484,Timothy Skinner,1961
485,Jacob Best,1980
486,Cameron Potts,1971
487,Mariah Allen,1949
488,Kathryn Wilson,1989
489,Danielle Fry,1987
490,Nathan Frank,1992
491,Tommy Parker,1977
492,Ariel Martinez,1941
493,Carrie Allen,1974
494,Annette Smith,1969
495,Robert Lopez,1954
496,William Hampton,1994
497,Lauren Allen,1955
498,Daniel Rivera,1945
499,Robert Butler,1952
500,Michael Weeks,1989
501,Alexis Stokes,1975
502,Charlotte Rodriguez,1988
503,Andrew Carney,1960
504,David Smith,1947
505,Lauren Dickerson,1982
506,Susan James,1950
507,William Jones,1957
508,Jennifer King,1977
509,Eric Hicks,1986
510,Eduardo Matthews,1975
511,Toni Butler,1972
512,Timothy Moore,1968
513,Dennis Smith,1962
514,Robert Rivera,1971
515,Keith Allen,1993
516,Brenda Baldwin,1989
517,Kimberly Allen,1972
518,Amber Baxter,1974
519,Patricia Moore,1979
520,Eric Holland,1986
521,Morgan Pratt,1976
522,Michael Ramirez,1986
523,Javier Hammond,1973
524,Justin Martin,1970
525,Melanie Montgomery,1994
526,Amy Wright,1984
527,Elizabeth Watkins,1964
528,Kevin Hamilton Jr.,1975
529,Chad Jackson,1968
530,Colin Nielsen,1941
531,Nicholas Stevens,1949
532,Anna Cooper,1991
533,James Tanner,1981
534,Kevin Johns,1959
535,Kyle Green,1975
536,Travis Taylor,1961
537,Jennifer Roberts,1944
538,Kim Jones,1973
539,Benjamin Simon,1944
540,Deborah Johnson,1951
541,Melissa Mclaughlin,1971
542,Jeffrey Taylor,1959
543,George Martinez,1985
544,James Kline,1989
545,Mark Perry,1978
546,Michael Hicks,1957
547,Charles Reynolds,1943
548,Victoria Obrien,1949
549,Elizabeth Peterson,1943
550,Megan Hodges,1957
551,Megan Harris,1949
552,Amy Ferguson,1978
553,Gabrielle Valdez,1958
554,Rita Smith,1984
555,Barry Mcdaniel,1962
556,Kevin Schroeder,1955
557,Reginald Cole,1989
558,Andrea Martin,1973
559,Jenna Wood,1992
560,Tara Barajas,1955
561,Samantha Berry,1952
562,Nicholas Copeland,1987
563,Christine Ramos,1972
564,Vincent Smith,1941
565,Heather Cohen,1941
566,Hannah Lynch,1985
567,Kimberly Jennings,1982
568,Taylor Vaughn,1962
569,Mark Williams,1962
570,Angela Castro,1944
571,April Knight,1963
572,Madeline Griffin,1972
573,Benjamin Joyce,1973
574,Mindy Pacheco,1946
575,Zachary Dominguez,1963
576,Ariel Williams,1957
577,Amy Walker,1992
578,James Camacho,1969
579,David Mcdonald,1961
580,Marc Walker PhD,1992
581,Dennis Jones,1948
582,Michael Sullivan,1942
583,Shawn Medina,1988
584,Michael Thompson,1973
585,Tammy Owen,1974
586,Andrew Morgan,1959
587,Brandy Black,1941
588,Justin Valenzuela,1995
589,Kimberly Stark,1960
590,Tiffany Kelley,1960
591,Crystal Kennedy,1977
592,Timothy Perez,1992
593,Steven Davis,1970
594,Christy Daugherty,1941
595,Amanda Johnson,1944
596,Kelly Vasquez,1950
597,Andrea Garcia,1954
598,Jose Garza,1949
599,Jordan Frazier,1983
600,Courtney Todd,1962
601,Amy King,1964
602,Susan Mayo,1970
603,Dennis Hancock,1955
604,Jillian Miller,1978
605,Jeffrey Bowers,1942
606,Brittany Johnson,1948
607,Anthony Foley,1982
608,Shawn Arnold,1973
609,Wanda Baldwin,1961
610,Brian Thomas,1973
611,Theresa Gonzalez,1961
612,Eugene Randall,1971
613,Michelle Fletcher,1962
614,Shannon Mathis,1987
615,Shawn Fox,1958
616,Jo Whitaker,1975
617,David Baldwin,1983
618,Kyle Martin,1972
619,Angela Wood,1958
620,Christopher Sellers,1945
621,Sheila Martin,1994
622,Greg Lamb,1979
623,Dennis Williams,1955
624,Matthew Thomas,1948
625,Melanie Contreras,1957
626,Alyssa Davis,1959
627,Hannah Jones,1943
628,Collin Riley,1949
629,Jamie White,1981
630,Kelsey Green,1975
631,Natalie Gomez,1943
632,Ronnie Anderson,1952
633,Karen George,1973
634,John Miller,1941
635,John Holder,1961
636,Aaron Paul,1969
637,Deborah Hartman,1987
638,Clifford Jackson Jr.,1990
639,Michelle Cordova,1978
640,Michael Mccoy,1985
641,Laura Snyder,1990
642,Willie Davis,1984
643,Dylan Foster,1986
644,Lee Bender,1968
645,Daniel Larson,1949
646,Michael Jimenez,1945
647,Patrick Hall,1957
648,Sandra Hendricks,1970
649,Logan Barrett,1966
650,Tracy Garcia,1968
651,Crystal Bauer,1995
652,Mrs. Jessica Brown PhD,1991
653,Betty Young,1956
654,Alice Lucas DDS,1974
655,Megan Jackson,1976
656,Sarah Jones,1956
657,Ms. Brandi Ward,1994
658,Jessica Hughes,1978
659,Crystal James,1944
660,Scott Chandler,1968
661,David Hester,1982
662,Curtis Hernandez,1988
663,Kimberly Cole,1965
664,Dale Byrd,1973
665,Miguel Johnson,1994
666,Joseph Stevens,1994
667,Frederick Cox,1951
668,Peggy Garcia,1963
669,Nicole Davis,1943
670,Heather Brown,1973
671,Christopher Mcdonald,1959
672,Melanie Ramirez,1947
673,Melanie Doyle,1991
674,Kimberly Hansen,1980
675,Joshua Barber,1980
676,Alex Stewart,1986
677,Gary Choi,1949
678,Christopher Duncan,1985
679,Amy Medina,1962
680,Christopher Hawkins,1943
681,Daniel Cooper,1977
682,Kimberly Adams,1941
683,Amber Franklin,1951
684,Robin Beard,1949
685,Shelly Edwards,1991
686,Maria Petty,1943
687,Mark Bennett,1981
688,Susan Horton,1951
689,Joseph Rivera,1952
690,Kimberly Munoz,1952
691,Christopher Dunlap,1943
692,John Johnson,1968
693,Gary Cole,1972
694,Emily Perry,1984
695,Samuel Clayton,1978
696,Wanda Roman,1970
697,Joshua Smith,1966
698,Jennifer Hayden,1990
699,Nicholas Harris,1958
700,Andrew Patrick,1994
701,Ronald Morris,1950
702,Michael Munoz,1954
703,Cory Mccullough,1976
704,Jason Hernandez,1991
705,Justin Guzman,1956
706,Jason Edwards,1966
707,Matthew Powell,1962
708,Steven Hall,1978
709,Juan Morales,1978
710,Tracey Brock,1991
711,Cheryl Roberts,1945
712,Kenneth Hickman II,1962
713,Ms. Holly Phillips DVM,1965
714,James Ruiz,1944
715,Jesse Phillips,1986
716,Joshua Lee,1952
717,Glenda Mitchell,1990
718,Trevor Daniel,1963
719,Brian Smith,1963
720,Debra Williams,1988
721,Melanie Hall,1977
722,Brittney Moore,1993
723,Vanessa Davis,1995
724,Christina Rhodes,1940
725,Brenda Lewis,1979
726,Kevin Preston,1950
727,Tyler Gonzalez,1977
728,Ashlee Sampson,1951
729,Jimmy Peck,1974
730,Angela Peck,1951
731,Joseph Clark,1970
732,Walter Bell,1976
733,Melinda Lucero,1990
734,Christopher Roberts,1970
735,Michael Brown,1971
736,Sarah Walsh,1959
737,Lauren Mccarty,1994
738,Megan Rogers,1945
739,Anna Burns,1983
740,Jeanette Holden,1972
741,Daniel Mcdonald,1963
742,Kelly Young,1953
743,Ryan Johnson,1942
744,Michael Gonzalez,1945
745,Terry Johnson,1960
746,Dominique Barnes,1973
747,Leonard Thompson,1994
748,Michelle Mcmillan,1953
749,Michael Hickman,1992
750,Anthony Taylor,1940
751,Heather Perez,1941
752,Margaret Jones,1955
753,Tammy Reyes,1977
754,Julie Combs,1971
755,Leslie Martin,1946
756,Michael Stone,1986
757,Cynthia Perez,1987
758,Patricia Mitchell,1987
759,Craig King,1942
760,Bryan Mendoza,1956
761,Bruce Doyle,1942
762,Michael Ross,1970
763,Victor Carter,1950
764,Carlos Mcguire,1966
765,Jose White,1940
766,Joseph Hall,1962
767,Julie Robinson,1945
768,Mrs. Amanda Chase,1964
769,Jody Mack,1948
770,Jonathan Watkins,1985
771,James Walker,1994
772,David Carpenter,1982
773,Crystal Clark,1974
774,Sharon Hill,1980
775,Joshua Palmer,1964
776,Rebekah Knight,1970
777,Rodney Waters,1948
778,Ricardo Williams,1947
779,Laura Jones,1945
780,Kathryn Carney,1951
781,Jordan Bennett,1969
782,Daniel Williams,1948
783,Morgan Martin,1978
784,Tanya Allen,1970
785,Rebecca Morgan,1984
786,Jeffrey Estrada,1965
787,Joseph Boyd,1980
788,Chloe Martinez,1963
789,Nicole Nichols,1955
790,Bradley Edwards,1989
791,Amanda Burton,1961
792,Duane Smith,1949
793,Rachel Garcia,1955
794,David Molina,1986
795,Stephen Martin,1972
796,Jillian Evans,1951
797,Tracey Martin,1989
798,Kenneth Mccoy,1983
799,Jason Bond,1970
800,Edward Hahn,1966
801,Yolanda Stout,1980
802,Daniel Jones,1964
803,Christina Gonzales,1947
804,Barbara Olson,1991
805,Eric Wilson,1989
806,Christy Smith,1983
807,Adrienne Tucker,1980
808,James Anderson,1970
809,Lisa Levine,1988
810,Joseph Stewart,1945
811,Katie Jones,1953
812,Donald Frederick,1963
813,Jane Barber,1980
814,Timothy Robinson,1969
815,Michaela Garcia,1974
816,Abigail Osborne,1990
817,Marcus Bennett,1952
818,Steven Sanchez,1983
819,Wanda Macias,1980
820,Gilbert Ortiz,1956
821,Ryan Daniel,1941
822,Thomas Collins,1994
823,Ethan Cooper,1980
824,Cheryl Mosley,1949
825,Jennifer Miller,1982
826,Christopher Bradley,1976
827,John Lewis,1972
828,Michael Wilson,1991
829,Johnny Hernandez,1981
830,Mr. Johnathan Arellano DDS,1981
831,Maria Mendez,1943
832,Eric Phillips,1941
833,Miranda Ryan,1992
834,Luis Elliott,1993
835,Emily Garcia,1982
836,Steven Garcia,1948
837,Jeffery Bradshaw,1959
838,Jennifer English,1940
839,William Perez,1954
840,Miguel Green,1959
841,Colleen Estrada,1985
842,Jeffrey Edwards,1987
843,Eric Foster,1952
844,Breanna Espinoza,1947
845,Brian Young,1986
846,Brendan Lewis,1944
847,Ryan Ross,1978
848,Stacey Miller,1961
849,Matthew Sullivan,1993
850,Roy Leonard,1951
851,Aaron Chandler,1968
852,Shaun Martinez,1956
853,Jaime Garcia,1977
854,Robert Miller,1988
855,Kelly Davis,1989
856,Michael Conrad,1986
857,David Russell,1965
858,Terry Hernandez,1958
859,Tyler Williams,1956
860,Laura Bryan,1954
861,Thomas Williams,1952
862,Timothy Fox,1941
863,Robert Sanders,1981
864,Angela Allen,1968
865,Eric Thomas,1959
866,Timothy Solomon,1992
867,Robin French,1985
868,Brandi Reynolds,1945
869,Joseph Ramirez,1967
870,Susan Cummings,1995
871,Curtis Jones,1980
872,Molly Ramirez,1964
873,Scott Pittman,1946
874,Steve Davis,1941
875,Christopher Sampson,1956
876,Cody Brown,1946
877,Logan Nguyen,1949
878,Matthew Glenn,1972
879,Paula Morris,1942
880,Johnathan Gilmore,1941
881,Olivia Mathews,1951
882,Ashley Davis,1971
883,Mr. Ryan Thompson,1992
884,Christina Smith,1988
885,Patricia Wells,1967
886,Daniel Nunez,1980
887,Lauren Hughes,1994
888,Mary Mcbride,1960
889,Alan Wilson,1941
890,Nancy Nunez,1952
891,Patricia Whitney,1984
892,Steven Lamb,1988
893,Sarah Nelson,1941
894,Katherine Pearson,1954
895,Micheal Neal,1954
896,Craig Ford,1957
897,Patrick Baker,1984
898,Ashley Mendez,1974
899,Kenneth Miller,1957
900,Stacy Harvey,1965
901,Shawn Faulkner,1941
902,Brittany Jones,1961
903,Daniel Barton,1994
904,Colin Bates,1946
905,Kayla Hines,1993
906,Virginia Goodman,1970
907,Anthony Collins,1959
908,Bailey Hammond,1988
909,Shane Merritt,1953
910,Dennis Smith,1974
911,Michael Castro,1960
912,Lauren Byrd,1987
913,Stacey Pena,1982
914,Kristina Ross,1980
915,Scott Vasquez,1964
916,Christopher Nelson,1960
917,Phillip Nicholson,1959
918,Destiny Schneider,1977
919,Mr. Jeffrey Blackburn MD,1982
920,Lisa White,1956
921,Jasmine Bailey,1943
922,Deborah Mayo,1973
923,Regina Foster,1987
924,Johnathan Ford,1994
925,Robert Torres MD,1989
926,Joseph Owens,1989
927,Alexis Daniels,1990
928,Douglas Armstrong,1992
929,Eric Smith,1990
930,Casey Green,1982
931,Terry Armstrong,1978
932,Raymond Banks,1990
933,Stephen Hensley,1971
934,Lorraine Ward,1994
935,David Warner,1988
936,Michael Brown,1955
937,Kenneth Sweeney,1987
938,Lisa Hayden,1967
939,Emma Walker,1983
940,Matthew Wood,1943
941,Cassandra Wilkins,1942
942,Robert Durham,1982
943,Charles Reed,1961
944,Erin Greer,1950
945,Nicholas Andrews,1995
946,Tamara Diaz,1962
947,Diane Newman,1969
948,Mary Walters,1980
949,Donald Jones,1976
950,Debra Waters,1957
951,Robert Griffith,1983
952,Micheal Compton,1994
953,Kelly Harrington,1960
954,Terry Schwartz,1993
955,Dana Clark,1988
956,Christine Torres,1941
957,Stephanie Sandoval,1984
958,Mrs. Sheena Baldwin DDS,1979
959,Joseph Massey,1970
960,Michelle Martinez,1944
961,Stephanie Wallace,1942
962,Matthew Gregory,1945
963,Lynn Hood,1957
964,Vincent Cantrell,1969
965,Ashley Romero,1968
966,Theresa Morgan,1985
967,Frank Griffith,1969
968,Robert Rodriguez,1953
969,Vanessa Holmes,1986
970,Monica Miller MD,1944
971,Heidi Davis,1987
972,Ashley Miller,1994
973,Morgan Harris,1961
974,Bradley Petty,1961
975,Angela Porter,1945
976,Michael Murillo,1947
977,Daniel Williams,1981
978,Sheila Reed,1965
979,Taylor Chan,1981
980,Kristie Kelly,1990
981,Tanya Hall,1991
982,Thomas Kline,1940
983,Brian Miles,1942
984,Edwin Brady,1975
985,Jillian Alexander,1990
986,Christopher Carson,1988
987,Anthony Lyons,1966
988,Michelle Little,1990
989,Wendy Taylor,1963
990,Matthew King,1950
991,Tammy Castillo,1941
992,Jason Strickland,1950
993,Crystal Pitts,1964
994,Shaun Cunningham,1981
995,Eileen Anderson,1947
996,Gabriela Fleming,1970
997,Daniel Fleming,1962
998,Grant Jimenez,1980
999,Ruth Nelson,1942
1000,Roger Booker,1962
1001,Robert Ritter,1952
1002,Corey Perry,1959
1003,Amy West,1973
1004,Jessica Solis,1973
1005,Phillip Wilcox,1949
1006,Jonathan Lopez,1962
1007,Amy Morris,1990
1008,William Mcdonald,1947
1009,Anita Foster,1969
1010,Katherine Jordan,1940
1011,Shawn Lee,1942
1012,Jean Hopkins,1987
1013,Angela Knapp,1992
1014,Gabriel Gates,1990
1015,Jeffery Santiago,1947
1016,Christopher Bowers,1952
1017,Amber Harris,1964
1018,Jenna Hoffman,1968
1019,Penny Nash,1948
1020,Brandon Anderson,1946
1021,Mark Wood,1982
1022,Lindsay Jones,1941
1023,Richard Park,1989
1024,Carla Gonzalez,1947
1025,Laurie Smith,1976
1026,Natalie Welch,1956
1027,Anthony Barron,1990
1028,Michael Freeman,1956
1029,Austin Lynch,1956
1030,Mary Phillips,1986
1031,Douglas Schmidt,1993
1032,Katie Johnson,1969
1033,Sarah Anderson DDS,1985
1034,Deanna Singh,1963
1035,Trevor Chavez,1977
1036,Michelle Adkins,1953
1037,David Bennett,1967
1038,Ray Patterson,1957
1039,Michael Wiggins,1953
1040,Susan Zhang,1993
